trimestre,canalAcesso,produto,acessoATM,qtdTransacoes,valorTransacoes
20212,Internet Banking,Boletos e Convênios,Não aplicável,426551613,"1172013010916,26"
20212,Agências,Boletos e Convênios,Não aplicável,61931251,"153292835675,58"
20212,Correspondentes no País,Consulta Saldo/Extrato,Não aplicável,64673113,0
20212,Centrais de Atendimento,Boletos e Convênios,Não aplicável,303906,"585831765,7"
20212,Internet Banking,Pix,Não aplicável,47338248,"212007030256,89"
20212,ATM,Consulta Saldo/Extrato,ATM/Acesso aberto/Cartão terceiro,113912077,0
20212,Centrais de Atendimento,Ordem de Transferência de Crédito,Não aplicável,335074,"18311248351,95"
20212,ATM,Empréstimos e Financiamentos,ATM/Acesso aberto/Cartão terceiro,173730,"214208404,85"
20212,Centrais de Atendimento,Outras não Financeiras,Não aplicável,41376415,0
20212,Posto de Atendimento Cooperativo,Saque,Não aplicável,19847792,"13029753374,92"
20212,Correspondentes no País,Empréstimos e Financiamentos,Não aplicável,12707658,"45368279059,97"
20212,ATM,Consulta Saldo/Extrato,ATM/Acesso aberto/Cartão próprio,251697295,0
20212,ATM,Outras Financeiras,ATM/Acesso aberto/Cartão terceiro,2633,59896
20212,ATM,Depósito,ATM/Acesso aberto/Cartão terceiro,3329025,3554925614
20212,ATM,Outras não Financeiras,ATM/Acesso aberto/Cartão próprio,6397226,0
20212,Centrais de Atendimento,Empréstimos e Financiamentos,Não aplicável,808331,"15165178252,27"
20212,Telefone Celular,Boletos e Convênios,Não aplicável,749588204,"420670875895,95"
20212,Correspondentes no País,Boletos e Convênios,Não aplicável,545505596,"130981794028,64"
20212,ATM,Empréstimos e Financiamentos,ATM/Acesso aberto/Cartão próprio,824298,"1266383863,49"
20212,Correspondentes no País,Outras Financeiras,Não aplicável,583,"236432536,69"
20212,ATM,Boletos e Convênios,ATM/Acesso restrito,57038423,"33474205564,13"
20212,ATM,Pix,ATM/Acesso aberto/Cartão terceiro,2131,218260
20212,Agências,Depósito,Não aplicável,57767879,"2578552554082,38"
20212,ATM,Boletos e Convênios,ATM/Acesso aberto/Cartão próprio,19595308,"9902838390,81"
20212,Correspondentes no País,Saque,Não aplicável,143839572,"74673335931,03"
20212,ATM,Pix,ATM/Acesso restrito,4,410
20212,Correspondentes no País,Ordem de Transferência de Crédito,Não aplicável,444319,"1947462031,93"
20212,Internet Banking,Ordem de Transferência de Crédito,Não aplicável,235693662,"5463060433430,79"
20212,ATM,Saque,ATM/Acesso aberto/Cartão próprio,111997353,"56611316248,49"
20212,Agências,Ordem de Transferência de Crédito,Não aplicável,68703167,"3139898200936,32"
20212,Posto de Atendimento Cooperativo,Boletos e Convênios,Não aplicável,59607804,"57346601039,83"
20212,Agências,Pix,Não aplicável,473207,"446370819,72"
20212,Agências,Outras Financeiras,Não aplicável,124607600,"3105348592678,24"
20212,Posto de Atendimento Cooperativo,Outras Financeiras,Não aplicável,107817,"1853780279,92"
20212,Correspondentes no País,Depósito,Não aplicável,111577166,"52334678219,49"
20212,Telefone Celular,Empréstimos e Financiamentos,Não aplicável,235358628,"33264521222,09"
20212,Correspondentes no País,Outras não Financeiras,Não aplicável,2503189,0
20212,ATM,Outras Financeiras,ATM/Acesso restrito,1188246,"5673907402,45"
20212,ATM,Boletos e Convênios,ATM/Acesso aberto/Cartão terceiro,1909269,"5869179775,78"
20212,ATM,Ordem de Transferência de Crédito,ATM/Acesso aberto/Cartão terceiro,757249,"599840091,93"
20212,Internet Banking,Outras Financeiras,Não aplicável,468341511,"1412111483723,4"
20212,ATM,Empréstimos e Financiamentos,ATM/Acesso restrito,11461828,"6019685474,18"
20212,Posto de Atendimento Cooperativo,Depósito,Não aplicável,7844688,"14920834093,27"
20212,Telefone Celular,Outras Financeiras,Não aplicável,48320778,"301389581070,93"
20212,Internet Banking,Consulta Saldo/Extrato,Não aplicável,2075818291,"19,17"
20212,ATM,Depósito,ATM/Acesso restrito,157775281,"159763208450,45"
20212,Telefone Celular,Ordem de Transferência de Crédito,Não aplicável,280170135,"632913710299,39"
20212,ATM,Ordem de Transferência de Crédito,ATM/Acesso restrito,21799328,"43017801853,82"
20212,ATM,Saque,ATM/Acesso restrito,298409435,"191204547780,53"
20212,Telefone Celular,Outras não Financeiras,Não aplicável,3398981299,0
20212,ATM,Outras não Financeiras,ATM/Acesso aberto/Cartão terceiro,86002,0
20212,ATM,Depósito,ATM/Acesso aberto/Cartão próprio,42200742,"53290596095,33"
20212,Agências,Outras não Financeiras,Não aplicável,61681409,0
20212,Posto de Atendimento Cooperativo,Ordem de Transferência de Crédito,Não aplicável,6786920,"90042000770,83"
20212,Internet Banking,Empréstimos e Financiamentos,Não aplicável,44310372,"98265093429,92"
20212,Agências,Empréstimos e Financiamentos,Não aplicável,137727168,"304934201745,82"
20212,ATM,Ordem de Transferência de Crédito,ATM/Acesso aberto/Cartão próprio,5188043,7048879918
20212,Agências,Consulta Saldo/Extrato,Não aplicável,134528177,72
20212,ATM,Consulta Saldo/Extrato,ATM/Acesso restrito,227932660,0
20212,Agências,Saque,Não aplicável,35408822,"238125231552,45"
20212,Telefone Celular,Consulta Saldo/Extrato,Não aplicável,10730699133,0
20212,ATM,Outras não Financeiras,ATM/Acesso restrito,122146378,0
20213,Telefone Celular,Pix,Não aplicável,1573264505,"752512169130,01"
20213,ATM,Outras não Financeiras,ATM/Acesso aberto/Cartão terceiro,35723,0
20213,Agências,Empréstimos e Financiamentos,Não aplicável,135400689,"317791902195,32"
20213,Centrais de Atendimento,Outras não Financeiras,Não aplicável,43134402,0
20213,Internet Banking,Outras não Financeiras,Não aplicável,1361813739,0
20213,ATM,Empréstimos e Financiamentos,ATM/Acesso aberto/Cartão terceiro,157311,"187810288,62"
20213,Agências,Outras não Financeiras,Não aplicável,64153905,0
20213,Agências,Depósito,Não aplicável,58468429,"2933265471172,48"
20213,Internet Banking,Pix,Não aplicável,60142987,"267250695319,97"
20213,Telefone Celular,Empréstimos e Financiamentos,Não aplicável,242797871,"36451754511,65"
20213,Posto de Atendimento Cooperativo,Saque,Não aplicável,24457821,"14016158908,49"
20213,Agências,Saque,Não aplicável,38142201,"241084797622,24"
20213,Agências,Pix,Não aplicável,811113,318756403
20213,ATM,Saque,ATM/Acesso aberto/Cartão próprio,110182135,55230059926
20213,Posto de Atendimento Cooperativo,Outras Financeiras,Não aplicável,123850,"2138925358,89"
20213,Internet Banking,Boletos e Convênios,Não aplicável,438596056,"1262982227073,34"
20213,ATM,Outras não Financeiras,ATM/Acesso aberto/Cartão próprio,8506983,0
20213,Agências,Ordem de Transferência de Crédito,Não aplicável,55514437,"3266614668717,77"
20213,Centrais de Atendimento,Outras Financeiras,Não aplicável,424192,"115194918441,84"
20213,ATM,Outras não Financeiras,ATM/Acesso restrito,118275075,0
20213,Internet Banking,Empréstimos e Financiamentos,Não aplicável,41119908,"111448529010,21"
20213,Correspondentes no País,Empréstimos e Financiamentos,Não aplicável,12220732,"47369697504,09"
20213,Agências,Consulta Saldo/Extrato,Não aplicável,141730816,0
20213,Correspondentes no País,Consulta Saldo/Extrato,Não aplicável,61669189,0
20213,ATM,Saque,ATM/Acesso aberto/Cartão terceiro,323896104,"112437559410,95"
20213,ATM,Boletos e Convênios,ATM/Acesso aberto/Cartão terceiro,1645907,"6891343427,12"
20213,ATM,Depósito,ATM/Acesso aberto/Cartão terceiro,3670310,3790639759
20213,ATM,Ordem de Transferência de Crédito,ATM/Acesso aberto/Cartão próprio,5284365,"7670723600,73"
20213,ATM,Depósito,ATM/Acesso aberto/Cartão próprio,41065355,"52287581282,33"
20213,ATM,Empréstimos e Financiamentos,ATM/Acesso aberto/Cartão próprio,738542,"1276548755,99"
20213,ATM,Outras Financeiras,ATM/Acesso aberto/Cartão próprio,1053552,"30468683504,4"
